name,display,type,direction,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,hit_rate,n_days
bh_tlt,B&H TLT,directional,long,-0.0997119931937127,-0.09707153923888326,-0.055217192110254776,0.30458581148044883,-0.795450340388395,-0.06941626561287766,-0.6213861753075551,0.5145045254119285,4309
bh_ief,B&H IEF,directional,long,-0.12532302437788043,-0.12290060880044767,-0.006422771180647047,0.13659192557882044,-0.4883477246270088,-0.013152044858103196,-0.1043257526718141,0.5098630772801114,4309
barbell_iei_tlt,Barbell IEI+TLT,barbell,neutral,-0.15031671658491685,-0.14611716043676154,-0.004233948235732199,0.11629729376630826,-0.4467968507490378,-0.009476226675801646,-0.06998154731995287,0.5200742631701091,4309
bh_50_50,50/50 TLT/SHV,directional,long,-0.1650313090788783,-0.16011590075843096,-0.016800858580596545,0.15295753780093516,-0.5196645227717291,-0.032330201205550815,-0.25152839356298917,0.5163611046646553,4309
steep_10s20s,Steep 10s20s,spread,steepener,-0.24847014438109152,-0.24243136218589426,0.0037734624806620154,0.05845764950558606,-0.21222258162953184,0.017780683147324974,0.06292443786760171,0.5160421258878276,4083
steep_20s30s,Steep 20s30s,spread,steepener,-0.24861398402320156,-0.2498241236293569,-0.008444781530692724,0.09601202911223748,-0.39726437785910074,-0.021257333909983408,-0.12838422023857032,0.49008082292432037,4083
steep_5s30s,Steep 5s30s,spread,steepener,-0.3297580573024956,-0.33029177501657536,0.005861637779678297,0.040446748356155755,-0.14062488306445056,0.04168279220535826,0.10510101021617668,0.5075423532142028,4309
steep_10s30s,Steep 10s30s,spread,steepener,-0.3591361941823093,-0.356080313704733,0.004241161787015724,0.04150656730242098,-0.14065684277307414,0.030152545040827598,0.07504997450417905,0.5080064980273845,4309
barbell_shy_ief,Barbell SHY+IEF,barbell,neutral,-0.4437570211948789,-0.43278264086239615,-0.0021496074409673716,0.047388841130529706,-0.21531523845747153,-0.009983536030089,-0.0361273934823928,0.5110234393130657,4309
barbell_shy_tlt,Barbell SHY+TLT,barbell,neutral,-0.4625317521370097,-0.4435165315762072,-0.00404871077982738,0.04937563154706282,-0.23218841445743732,-0.017437178290261132,-0.06701883517865748,0.5216987700162451,4309
bfly_2s10s30s_neg,Bfly 2-10-30 -,butterfly,negative,-0.52588014878766,-0.5216849136284396,0.003836059303598427,0.029900867423606647,-0.08905695276492358,0.04307422592511291,0.06765865711576668,0.5040612671153399,4309
flat_30s10s,Flat 30s10s,spread,flattener,-0.6075898466781903,-0.6078169638403952,-0.0060531409759632115,0.041492550413010955,-0.12591835727511688,-0.04807195000755773,-0.09861105980804596,0.49199350197261543,4309
bfly_5s10s30s_neg,Bfly 5-10-30 -,butterfly,negative,-0.6465171933416625,-0.6367346144534174,0.0022404893425633787,0.026913217385744276,-0.08561961499214596,0.026167944609058365,0.03900937622451317,0.5052216291482943,4309
flat_30s5s,Flat 30s5s,spread,flattener,-0.6621306426009882,-0.653100825406053,-0.007568753898473779,0.04044416620113464,-0.13836030028587515,-0.054703219657918405,-0.1218272432392774,0.49222557437920633,4309
flat_30s2s,Flat 30s2s,spread,flattener,-0.716414756768388,-0.7231514740467405,0.00033811001290251497,0.026938466940231873,-0.07982956213638971,0.004235398564818008,0.00579717467866403,0.49640287769784175,4309
steep_2s30s,Steep 2s30s,spread,steepener,-0.7725379788225921,-0.7477851843845646,-0.0011802526857161988,0.02694734428501642,-0.1210579032625779,-0.0097494889132203,-0.019990783885133534,0.5035971223021583,4309
bfly_2s10s30s_pos,Bfly 2-10-30 +,butterfly,positive,-0.8161604770920654,-0.8154681877200506,-0.004827738486350541,0.029887124453516503,-0.09486731347020291,-0.050889377065230126,-0.07941911030818793,0.49593873288466,4309
bfly_5s10s30s_pos,Bfly 5-10-30 +,butterfly,positive,-0.8446315853432701,-0.8438435408823177,-0.0030741093933455144,0.026895873599776052,-0.07934789389735326,-0.038742167464737895,-0.05128400407941802,0.49477837085170573,4309
flat_10s2s,Flat 10s2s,spread,flattener,-0.941038806647013,-0.9385928423603174,0.001921783224313689,0.019020651912654625,-0.04437537655480048,0.04330742347482779,0.03337426412175715,0.5015084706428405,4309
steep_5s10s,Steep 5s10s,spread,steepener,-1.0088915137908743,-1.0147051231111466,0.0023737534940042604,0.017324933977242638,-0.047433343928422377,0.05004398377618685,0.04137421595599777,0.5005801810164772,4309
steep_2s10s,Steep 2s10s,spread,steepener,-1.1679469915324088,-1.1383421925275123,-0.0023958781761120873,0.01902294344568409,-0.09502662241382587,-0.025212704768969037,-0.04018696678697331,0.49593873288466,4309
bfly_2s5s10s_neg,Bfly 2-5-10 -,butterfly,negative,-1.5457135715694854,-1.5612194318166335,0.002650600704686923,0.011185987419907414,-0.02653090013415081,0.09990617322761115,0.04630321854345798,0.5005801810164772,4309
bh_shv,B&H SHV,directional,long,-1.6061227386961947,-1.2408285600043745,-0.0001933820078517945,0.012523765689699887,-0.023841931193154343,-0.008111004359718966,-0.003301536526565285,0.462056161522395,4309
steep_2s5s,Steep 2s5s,spread,steepener,-1.8257542191424128,-1.751348415047829,-0.0032582809333642215,0.012697742457501502,-0.07593895630084194,-0.04290658039144129,-0.05427644862535608,0.4950104432582966,4309
bfly_2s5s10s_pos,Bfly 2-5-10 +,butterfly,positive,-2.0374313729692703,-1.9801131003493213,-0.0028852432637686,0.011203629502000108,-0.05192830567028039,-0.055562052844329225,-0.04820602402599439,0.499187746576932,4309
