date,signal,z_final,weight,regime
2009-03-19,SHORT,-1.6067874024141306,0.0,STRESS
2010-12-23,LONG,3.133183681041507,1.0,CALM
2011-08-11,SHORT,-2.7015586092989996,0.0,STRESS
2012-03-21,LONG,2.974040460031249,1.0,CALM
2012-05-16,SHORT,-2.406693564582322,0.0,STRESS
2012-11-07,LONG,1.2129434091553208,1.0,CALM
2014-05-19,SHORT,-2.0096337261628157,0.0,CALM
2015-05-14,LONG,3.164773005297009,1.0,CALM
2016-01-20,SHORT,-1.4301939678041737,0.0,STRESS
2016-11-11,LONG,6.513212206560288,1.0,STRESS
2017-09-07,SHORT,-0.9490011431781998,0.0,CALM
2018-05-17,LONG,5.335381858397291,1.0,CALM
2018-08-14,SHORT,-1.6691110314508928,0.0,CALM
2018-10-08,LONG,2.9165596333473847,1.0,STRESS
2018-10-29,SHORT,-2.041404651253163,0.0,STRESS
2019-03-04,LONG,3.0349348714732147,1.0,CALM
2019-08-19,SHORT,0.16920006515376318,0.0,CALM
2019-11-11,LONG,4.465194724574319,1.0,STRESS
2020-03-10,SHORT,-2.5523108728809323,0.0,STRESS
2021-03-16,LONG,3.9815217885643808,1.0,CALM
2021-07-21,SHORT,0.2085908096739677,0.0,CALM
2023-02-22,LONG,3.571507071117517,1.0,CALM
2023-03-16,SHORT,0.0508914696812337,0.0,STRESS
2023-10-04,LONG,3.099542745590158,1.0,CALM
2024-08-06,SHORT,-2.7733650130702663,0.0,STRESS
2025-05-23,LONG,2.00587269237452,1.0,CALM
2025-10-15,SHORT,-2.398882942541161,0.0,STRESS
