year,total_ret,markowitz_contrib,tilt_contrib,tcost_drag,ew_ret,selection_value,best_indicator
2009,-0.03731688591227822,-0.015060225035140928,-0.02165666087713729,-0.0006000000000000001,-0.015060225035140928,-0.02225666087713729,N/A
2010,0.04282984526182809,0.019969407176581022,0.043620553044347865,-0.0207601149591008,0.019969407176581022,0.02286043808524707,sharpe_126
2011,0.08773525100692847,0.05869408216073557,0.04618130747859055,-0.017140138632397644,0.053057019002081596,0.034678232004846876,consensus
2012,0.0060640780609593214,0.026189837819369677,-0.014182538600029368,-0.005943221158380987,0.0037051801640888282,0.0023588978968704932,sharpe_126
2013,-0.12643196138955437,-0.15087310326462,0.02925563997901681,-0.004814498103951178,-0.03028737946888993,-0.09614458192066444,vol_z
2014,0.20883260881112609,0.2542822745251423,-0.039335478740019116,-0.00611418697399709,0.03453027277120446,0.17430233603992162,z_mom_126
2015,-0.07902818580392279,-0.0806906929074992,0.008613536870419016,-0.006951029766842611,-0.003978828979774862,-0.07504935682414793,vol_z
2016,-0.04013948581903837,-0.061865908382950585,0.02709896351170569,-0.005372540947793469,-0.0012553090614141338,-0.038884176757624234,z_mom_126
2017,0.09041213695589745,0.12330416518743292,-0.02841339026152223,-0.004478637970013246,0.006540464107384736,0.08387167284851271,sharpe_126
2018,-0.07562279025862872,-0.09050833227425348,0.019808497589628306,-0.004922955574003553,-0.006924133646950215,-0.06869865661167851,z_mom_126
2019,0.19135453719342044,0.22544090536591033,-0.030878878491496564,-0.003207489680993325,0.02587315598811224,0.1654813812053082,sharpe_126
2020,0.2287739461449918,0.2940122462412411,-0.0584994076216674,-0.006738892474581911,0.03955408528069282,0.18921986086429898,sharpe_126
2021,-0.09265527906255877,-0.13395611540742658,0.04500771601871534,-0.0037068796738475313,-0.01638292118665008,-0.07627235787590869,z_mom_252
2022,-0.4788418278832237,-0.5669936650050436,0.0938732912690584,-0.005721454147238558,-0.08229638414675788,-0.39654544373646583,vol_z
2023,-0.05212440118281236,-0.04592044538677942,0.00024427906546735725,-0.006448234861500302,0.006063460807698151,-0.058187861990510514,vol_z
2024,-0.2045326593645992,-0.23555572844844574,0.037255405854960316,-0.006232336771113765,-0.019064227574709824,-0.18546843178988937,vol_z
2025,-0.02859152956390676,-0.018053955113731868,-0.0048305451089991035,-0.005707029341175788,0.01068144190735243,-0.03927297147125919,z_mom_252
2026,0.0476078413805785,0.05605867348822979,-0.007829160650696863,-0.000621671456954434,0.005669492528650677,0.04193834885192782,sharpe_126
