year,sharpe,ann_ret,vol,mdd,hit_rate,n_days
2012,-0.5646848343740425,-0.01762413406265617,0.06335155096100185,-0.07972635975609504,0.488,250
2013,-1.4314604484279345,-0.13436673273584587,0.11047143556139587,-0.16240642839341576,0.49603174603174605,252
2014,1.106985878931791,0.10006575552493802,0.07033500297371274,-0.037062033393770684,0.5396825396825397,252
2015,0.8143245630992793,0.08117360330843248,0.07470752743794871,-0.04356230393172606,0.5079365079365079,252
2016,-0.34590798356450086,-0.0006552925328980885,0.0552982416333904,-0.0649249219373272,0.46825396825396826,252
2017,-1.3534499405499403,-0.04217232018914652,0.04583366055508612,-0.05637309196996575,0.44223107569721115,251
2018,0.28775697750355705,0.0342581377045712,0.052323881736434014,-0.055580554907238615,0.5258964143426295,251
2019,1.8566022582471948,0.2528383776551604,0.11419527779850555,-0.06005490422564683,0.5555555555555556,252
2020,0.44429992148408554,0.10358848918945895,0.24297381223646378,-0.20534260562676773,0.5296442687747036,253
2021,-0.3825058020118143,-0.024690081692075316,0.10362370567572982,-0.10351439776514033,0.46825396825396826,252
2022,0.2649343694965856,0.04022653606337023,0.08802007249040861,-0.07159483107607062,0.5338645418326693,251
2023,0.2971226017812237,0.05336956427028694,0.14119134814977014,-0.15143284194854817,0.488,250
2024,-0.9070901235165921,-0.08347486676928917,0.1112874950272431,-0.11924992505193563,0.5277777777777778,252
2025,-0.2042187518313133,-0.005339466143342797,0.09973680629552754,-0.0919364340626217,0.512,250
