year,strategy,benchmark,excess,n_trades
2009,-0.06468401298115933,-0.2511445094098719,0.18646049642871254,1
2010,0.03529922706659483,0.04739999111567905,-0.012100764049084223,1
2011,0.31472683915887867,0.31472683915887867,0.0,0
2012,-0.008921521388566389,-0.008921521388566389,0.0,0
2013,-0.15943224954612967,-0.15943224954612967,0.0,0
2014,0.19257951344743485,0.23620655802081458,-0.043627044573379736,1
2015,-0.022138317840964317,-0.04240787801778967,0.020269560176825352,2
2016,-0.042681293630713935,-0.012025211477855069,-0.030656082152858866,1
2017,0.06488709812809224,0.06488709812809224,0.0,0
2018,0.012130393941626627,-0.04217247359293741,0.05430286753456404,2
2019,0.11496996132005388,0.11496996132005388,0.0,0
2020,0.226568476312492,0.16423088278712572,0.062337593525366275,1
2021,0.11616235583166068,-0.058093151505009044,0.17425550733666972,2
2022,-0.004528165187464905,-0.3281597948579532,0.3236316296704883,0
2023,0.19959439517846134,-0.006830052229810701,0.20642444740827204,3
2024,-0.00719608034381658,-0.11680825242718507,0.10961217208336849,1
2025,0.0870797873510134,-0.0019466391847020592,0.08902642653571546,2
2026,0.0362769693234366,0.028223955943092127,0.008053013380344476,2
