year,sharpe,ann_ret,vol,mdd,hit_rate,n_days,is_sharpe,best_threshold,best_rebal,best_max_strats,best_w_mom
2012,-1.1241624005834605,-0.03443636621599744,0.047939077469223115,-0.04564922045946802,0.328,250,-0.6880897854773279,0.7,21,8,0.7
2013,-1.6050204026062709,-0.06287266100137079,0.05206713159859482,-0.07668042184955214,0.4722222222222222,252,-0.687607626459537,0.3,10,8,0.5
2014,-0.013920233506048613,0.01927320955046019,0.03094455997036848,-0.01875126052567046,0.5357142857142857,252,-1.0091811082665831,0.3,10,8,0.5
2015,-0.5705799228222982,-0.008138441866533008,0.04740444464539594,-0.05008982297168436,0.48412698412698413,252,-0.9472448203401637,0.3,10,8,0.4
2016,-1.3707313398360719,-0.017521826104637372,0.027216307282444393,-0.05340340560081615,0.23412698412698413,252,-0.7923882319404035,1.0,10,6,0.4
2017,-0.4438254169382685,0.006527986835827448,0.02942710139559657,-0.035321662458907103,0.26693227091633465,251,-0.8261751067124341,1.0,10,6,0.4
2018,-1.217935328938227,-0.005672031685973189,0.020911853605810108,-0.019198588515750604,0.250996015936255,251,-0.8258116643993275,1.0,10,6,0.4
2019,-3.8672081775099794,-0.07155796308729723,0.024291696178904924,-0.07988849410270663,0.3055555555555556,252,-0.863058177639399,1.0,10,6,0.4
2020,-0.5465098514170229,-0.06980667839028354,0.14868549792799984,-0.12794319113007716,0.4031620553359684,253,-1.043040684029618,1.0,21,4,0.7
2021,0.8276396198382868,0.062159693010104045,0.050229252361881964,-0.017675132137844867,0.503968253968254,252,-0.9964391571506277,0.5,21,4,0.7
2022,-2.3273465601162258,-0.11116640065022287,0.05848064158786109,-0.13394002663829907,0.42231075697211157,251,-0.9086039115732713,0.5,21,4,0.7
2023,-2.1991214216525603,-0.09304863096785243,0.05286157044470071,-0.10990903832842135,0.46,250,-1.016555957875235,0.5,21,4,0.7
2024,-1.1105672994642437,-0.023463765019349103,0.03871211305141602,-0.042080907633556874,0.4365079365079365,252,-1.1183285603844246,0.5,21,4,0.7
2025,0.09734586355828859,0.023824387554991278,0.04850014209555764,-0.035762061709726886,0.492,250,-1.1182200013654444,0.5,21,4,0.7
