signal,change_win,z_win,group,tl,ts,exit_z,sharpe,sortino,ann_ret,vol,mdd,total_ret,n_trades,has_exit
regime_z,42,252,10s30s,-1.0,0.5,99.0,0.21179336946742275,0.21831747442157062,0.03851144418336938,0.11543038114067214,-0.24974182290040003,0.9081828062994564,98,False
regime_z,42,252,10s30s,-1.0,0.5,-1.0,0.21179336946742275,0.21831747442157062,0.03851144418336938,0.11543038114067214,-0.24974182290040003,0.9081828062994564,98,True
regime_z,42,126,no_3m2y,-0.5,1.0,99.0,0.18907891177236447,0.2012577227349173,0.03458692264717578,0.10102597394409285,-0.1572771323486485,0.7885608327664608,76,False
regime_z,42,126,no_3m2y,-0.5,1.0,-1.0,0.18907891177236447,0.2012577227349173,0.03458692264717578,0.10102597394409285,-0.1572771323486485,0.7885608327664608,76,True
regime_z,42,378,10s30s,-0.5,0.5,99.0,0.18198769369855164,0.1899906018944771,0.034542074959197144,0.10982004472335873,-0.17556627278359363,0.7872355724041797,130,False
regime_z,42,378,10s30s,-0.5,0.5,-1.0,0.18198769369855164,0.1899906018944771,0.034542074959197144,0.10982004472335873,-0.17556627278359363,0.7872355724041797,130,True
regime_z,42,378,10s30s,-0.5,0.5,-0.5,0.18198769369855164,0.1899906018944771,0.034542074959197144,0.10982004472335873,-0.17556627278359363,0.7872355724041797,130,True
regime_z,42,378,10s30s,-1.0,0.5,-0.5,0.1756495261060843,0.18072873037943202,0.03392460103252781,0.11134308077362894,-0.2012652824472958,0.7690828016436031,134,True
regime_z,42,126,10s30s,-1.0,1.0,0.0,0.17235157806580412,0.17877290513840005,0.032917308794386146,0.10207093916831671,-0.17199622112251192,0.7398420701743431,170,True
regime_z,42,252,10s30s,-1.0,0.5,-0.5,0.17216889997579907,0.17681485449077577,0.0335513616937364,0.11178164762117122,-0.2531800265915612,0.7581944754855283,137,True
k1.00,126,126,broad,-3.0,3.0,99.0,0.17182223680859357,0.17573703714662597,0.03280425149623323,0.10129728338677614,-0.21724298185789206,0.736588679407914,9,False
regime_z,42,378,10s30s,-1.0,0.5,99.0,0.16516452897154565,0.1689273695194043,0.032931722438943156,0.1153541561623936,-0.25716540524970644,0.740257256286373,102,False
regime_z,42,378,10s30s,-1.0,0.5,-1.0,0.16516452897154565,0.1689273695194043,0.032931722438943156,0.1153541561623936,-0.25716540524970644,0.740257256286373,102,True
regime_z,42,126,10s30s,-1.0,0.5,0.0,0.14536225993094928,0.14939012430889037,0.030304917121199093,0.10759261875155766,-0.2052297762823706,0.6661128710534165,182,True
regime_z,42,252,10s30s,-1.0,0.5,0.0,0.1430321511393412,0.14628295871719185,0.030148207912993108,0.1104992479932025,-0.23685313723593598,0.6617849685115982,170,True
regime_z,42,378,no_3m2y,-0.5,1.0,99.0,0.14178726462184324,0.14836542812835274,0.029909559629035076,0.10762604005065923,-0.29487706204114345,0.6552144491492573,86,False
regime_z,42,378,no_3m2y,-0.5,1.0,-1.0,0.14178726462184324,0.14836542812835274,0.029909559629035076,0.10762604005065923,-0.29487706204114345,0.6552144491492573,86,True
regime_z,42,252,10s30s,-0.5,0.5,99.0,0.13870178011288742,0.14465521930922454,0.029650473225393492,0.11030385840072912,-0.2383972577305489,0.6481089180847852,134,False
regime_z,42,252,10s30s,-0.5,0.5,-1.0,0.13870178011288742,0.14465521930922454,0.029650473225393492,0.11030385840072912,-0.2383972577305489,0.6481089180847852,134,True
regime_z,42,252,10s30s,-0.5,0.5,-0.5,0.13870178011288742,0.14465521930922454,0.029650473225393492,0.11030385840072912,-0.2383972577305489,0.6481089180847852,134,True
regime_z,42,378,broad,-1.0,1.0,99.0,0.13832635752887432,0.14337544775450486,0.029846633215468543,0.12039213332086271,-0.40136054421768685,0.6534860241845513,54,False
regime_z,42,378,broad,-1.0,1.0,-1.0,0.13832635752887432,0.14337544775450486,0.029846633215468543,0.12039213332086271,-0.40136054421768685,0.6534860241845513,54,True
spread,80,126,10s30s,-3.0,2.5,99.0,0.13693747182740149,0.1355354937046301,0.02891889238153733,0.0953032791958399,-0.2296458837772401,0.6281997890455475,13,False
regime_z,42,126,no_3m2y,-0.5,1.0,0.0,0.1340478867924194,0.14064633234192908,0.028865799877363596,0.10144313063964108,-0.15970074140315751,0.6267637860832151,182,True
regime_z,42,126,10s30s,-1.0,1.0,99.0,0.1305254143905915,0.13674182182079384,0.028559718494692632,0.10358575777652156,-0.18451091671346276,0.6185083705947516,78,False
regime_z,42,126,10s30s,-1.0,1.0,-1.0,0.1305254143905915,0.13674182182079384,0.028559718494692632,0.10358575777652156,-0.18451091671346276,0.6185083705947516,78,True
k1.00,21,252,broad,-1.5,0.5,99.0,0.12389099393020693,0.1276946795824425,0.028061811331983932,0.12615921568692545,-0.2648910385692121,0.6051633794377587,51,False
regime_z,42,378,10s30s,-0.5,1.0,-0.5,0.12293828209520274,0.12801467410544828,0.02771333657182362,0.10174211589005047,-0.1714873610465158,0.5958852009544677,138,True
regime_z,42,252,10s30s,-1.0,1.0,-0.5,0.12178417436986391,0.12460387617366632,0.027638807432937007,0.10414936687842427,-0.20669611841852195,0.5939074199113143,142,True
regime_z,42,126,no_3m2y,-0.5,0.5,99.0,0.11990273405199273,0.1253058486066616,0.02750420859894076,0.10902778332798205,-0.22849160177641747,0.5903414143262977,126,False
