signal,change_win,z_win,group,tl,ts,sharpe,sortino,ann_ret,vol,mdd,calmar,total_ret,n_trades
regime_z,42,252,10s30s,-1.0,0.5,0.21179336946742275,0.21831747442157062,0.03851144418336938,0.11543038114067214,-0.24974182290040003,0.1542050255584472,0.9081828062994564,98
regime_z,42,126,no_3m2y,-0.5,1.0,0.18907891177236447,0.2012577227349173,0.03458692264717578,0.10102597394409285,-0.1572771323486485,0.21991068968948546,0.7885608327664608,76
k0.50,42,63,10s30s,-1.0,1.0,0.1728063607330488,0.18074957771344535,0.033392576329432266,0.10820680094872305,-0.18930146905328452,0.17639892863183715,0.7535814667595313,75
k0.50,42,63,2s30s,-1.0,1.0,0.1728063607330488,0.18074957771344535,0.033392576329432266,0.10820680094872305,-0.18930146905328452,0.17639892863183715,0.7535814667595313,75
k1.00,42,63,no_3m2y,-1.0,1.0,0.17199875255988822,0.18071364876262877,0.033244407798618036,0.10732873614378058,-0.20178018636089193,0.16475556098039817,0.7492871767994662,77
k0.75,42,63,broad,-1.0,1.0,0.1662441280249814,0.17472486389815473,0.03260656168890441,0.10733300320509861,-0.20372630344468376,0.16005081885637717,0.7309136233374927,77
spread,21,63,all_6,-1.5,2.0,0.15902216011947717,0.16365032798769114,0.030858651444659824,0.09190366380605743,-0.12387456928224382,0.2491120786410121,0.6814907317392396,61
k1.00,42,63,broad,-1.0,1.0,0.15833535917737362,0.16604010590681267,0.03178158454051916,0.10832032736599755,-0.20372630344468376,0.15600138029868377,0.7074190440468795,79
regime_z,42,63,10s30s,-1.0,1.0,0.1556415099961647,0.16517581398698028,0.031285379321545514,0.10443041022111406,-0.15727713234864846,0.198918805641705,0.6934325393507768,72
spread,15,63,broad,-1.5,1.5,0.1544788515865689,0.15980916833265846,0.03091297589673636,0.09993448008506674,-0.2497737473907048,0.12376391121834436,0.6830065631537905,83
spread,10,63,all_6,-1.5,1.5,0.14806732875539727,0.15508768725958164,0.030446058359874018,0.10395151948024345,-0.20372245322256405,0.14944871259041884,0.6700199077759501,101
k0.75,42,63,10s30s,-1.0,0.5,0.1437243293881787,0.14889797466773372,0.0303192726311885,0.1133448032494916,-0.1855828063592052,0.16337328455150077,0.6665098632186317,85
regime_z,63,126,2s30s,-1.0,2.5,0.14077388540089245,0.15249750069919743,0.02834379564219014,0.07812948716529355,-0.10911881108149618,0.2597516904855329,0.6127083936043618,21
k0.75,21,63,all_6,-1.5,2.5,0.14031684755316762,0.15381290071869003,0.02881856052242937,0.0866744365330401,-0.1572771323486485,0.18323426992898761,0.6254870969164663,38
spread,15,63,no_3m2y,-1.5,1.5,0.1395685902133575,0.14426524964587598,0.02937796204429599,0.09993131449846891,-0.24977374739070496,0.11761829396082184,0.6406662033323913,81
spread,15,63,all_6,-1.5,1.5,0.13886245065671873,0.14285483536330884,0.029431695888422205,0.10323309745607316,-0.17487680134772715,0.16829960098538094,0.6421312509037242,77
regime_z,42,252,10s30s,-0.5,0.5,0.13870178011288742,0.14465521930922454,0.029650473225393492,0.11030385840072912,-0.2383972577305489,0.12437422102776981,0.6481089180847852,134
regime_z,42,63,10s30s,-1.0,0.5,0.13684649972047686,0.14153845568920614,0.0295197557337068,0.11339432036851844,-0.20518995546513827,0.14386550095393047,0.644534856874573,116
k0.75,15,63,2s30s,-1.5,1.5,0.13562843180749073,0.14355891696183448,0.029341107560080903,0.11179694440093305,-0.17688574720862207,0.1658760415867509,0.639662081294869,81
k0.75,42,63,10s30s,-1.0,1.0,0.13399170239526523,0.1391461982358296,0.02907778252748061,0.10883058688810054,-0.18153898692600023,0.16017376223066307,0.6325044545069267,79
spread,21,63,broad,-1.5,2.0,0.1314955499683344,0.13566348116652704,0.028156648909044124,0.08957642661810733,-0.12273701155373923,0.2294063424928348,0.6076972180044062,61
spread,15,63,no_3m2y,-1.0,1.5,0.13072879127532855,0.13771434441228592,0.02828855996877966,0.09464933779838346,-0.22515459833627544,0.12564060506785568,0.6112278358448968,95
regime_z,42,126,10s30s,-1.0,1.0,0.1305254143905915,0.13674182182079384,0.028559718494692632,0.10358575777652156,-0.18451091671346276,0.15478606362920305,0.6185083705947516,78
k0.75,15,63,broad,-1.5,1.5,0.1298264309449375,0.13741760640891743,0.028685603604470478,0.11241835398940785,-0.20944369584840306,0.13696093113842556,0.6218988699706405,79
k0.75,15,126,2s30s,-2.0,2.0,0.12949256455154878,0.13718630340056887,0.028654024889822605,0.11297332294537506,-0.28817953662171386,0.09943115748512023,0.6210477237064891,27
k0.25,21,63,broad,-1.5,2.5,0.1290170689724026,0.14156374031159133,0.02784107389360213,0.08735671306106335,-0.15727713234864862,0.1770192111074649,0.5992803432727791,38
k1.00,42,63,no_3m2y,-0.5,1.0,0.12660811806980465,0.13438505864024336,0.0281521524917554,0.10398484693752387,-0.1817757146347611,0.15487301231807035,0.6075769992439617,93
k0.50,42,63,broad,-1.0,1.0,0.12456404296327482,0.13011239413013803,0.027983804096275655,0.10662035428799431,-0.20178018636089193,0.13868459832932012,0.6030820270461452,79
k0.00,42,63,10s30s,-1.0,1.0,0.12456404296327482,0.13011239413013803,0.027983804096275655,0.10662035428799431,-0.20178018636089193,0.13868459832932012,0.6030820270461452,79
k1.00,21,252,broad,-1.5,0.5,0.12389099393020693,0.1276946795824425,0.028061811331983932,0.12615921568692545,-0.2648910385692121,0.10593718641278911,0.6051633794377587,51
